15,0
3,33,0
3,27,0
3,21,0
3,15,0
3,09,0
3,03,0
2,97,0
2,91,0
2,85,0
2,79,0
2,73,0
2,67,0
2,61,0
2,55,0
2,49,0
2,43,0
2,37,0
2,31,0
2,25,0
2,19,0
2,13,0
2,07,0
2,01,0
1,95,0
1,89,0
1,83,0
1,77,0
1,71,0
1,65,0
1,59,0
1,53,0
1,47,0
1,41,0
1,35,0
1,29,0
1,23,0
1,17,0
1,11,0
1,05,0
0,99,0
0,93,0
0,87,0
0,81,0
0,75,0
0,69,0
0,63,0
0,57,0
0,51,0
0,45,0
0,39,0
0,33,0
0,27,0
0,21,0
0,15,0
0,0899999999999999,0
0,0299999999999998,0
-0,0300000000000002,0
-0,0900000000000003,0
-0,15,0
-0,21,0
-0,27,0
-0,33,0
-0,39,0
-0,45,0
-0,51,15500
-0,57,22000
-0,63,51000
-0,69,23500
-0,75,46500
-0,81,26500
-0,870000000000001,65500
-0,93,41500
-0,990000000000001,77500
-1,05,47000
-1,11,93500
-1,17,73000
-1,23,108500
-1,29,87500
-1,35,171500
-1,41,88500
-1,47,240000
-1,53,124500
-1,59,285500
-1,65,186500
-1,71,312000
-1,77,212500
-1,83,391500
-1,89,247000
-1,95,484500
-2,01,533000
-2,07,287000
-2,13,366500
-2,19,643000
-2,25,698500
-2,31,339500
-2,37,312000
-2,43,772500
-2,49,713000
-2,55,395000
-2,61,313000
-2,67,730500
-2,73,628500
-2,79,281500
-2,85,250500
-2,91,372500
-2,97,252500
-3,03,78500
-3,09,61000
-3,15,62500
-3,21,22500
-3,27,23500
-3,33,4500
-3,39,8500
-3,45,1500
-3,51,4000
-3,57,500
-3,63,1500
-3,69,0
-3,75,1000
-3,81,500
-3,87,1000
-3,93,1500
-3,99,500
-4,05,1000
-4,11,2000
-4,17,2000
-4,23,2500
-4,29,500
-4,35,3500
-4,41,1000
-4,47,4000
-4,53,4000
-4,59,1500
-4,65,4000
-4,71,1000
-4,77,2500
-4,83,7500
-4,89,1500
-4,95,3000
-5,01,5000
-5,07,3500
-5,13,5000
-5,19,2000
-5,25,0
-5,31,3000
-5,37,2500
-5,43,2000
-5,49,4500
-5,55,1000
-5,61,2500
-5,67,1000
-5,73,500
-5,79,1000
-5,85,0
-5,91,1000
-5,97,0
-6,03,0
-6,09,500
-6,15,0
-6,21,0
-6,27,0
-6,33,0
-6,39,0
-6,45,0
-6,51,0
-6,57,1500
-6,63,0
-6,69,0
-6,75,500
-6,81,0
-6,87,0
-6,93,0
-6,99,0
-7,05,1000
-7,11,0
-7,17,0
-7,23,0
-7,29,0
-7,35,0
-7,41,0
-7,47,500
-7,53,0
-7,59,0
-7,65,0
-7,71,0
-7,77,0
-7,83,0
-7,89,0
-7,95,0
-8,01,0
-8,07,0
-8,13,0
-8,19,0
-8,25,0
-8,31,0
-8,37,0
-8,43,0
-8,49,0
-8,55,0
-8,61,0
-8,67,0
-8,73,0
-8,79,0
-8,85,0
-8,91,0
-8,97,0
-9,03,0
-9,09,0
-9,15,0
-9,21,0
-9,27,0
-9,33,0
-9,39,0
-9,45,0
-9,51,0
-9,57,0
-9,63,0
-9,69,0
-9,75,0
-9,81,0
-9,87,0
-9,93,0
-9,99,0
-10,05,0
-10,11,0
-10,17,0
-10,23,0
-10,29,0
-10,35,0
-10,41,0
-10,47,0
-10,53,0
-10,59,0
-10,65,0
-10,71,0
-10,77,0
-10,83,0
-10,89,0
-10,95,0
-11,01,0
-11,07,0
-11,13,0
-11,19,0
-11,25,0
-11,31,0
-11,37,0
-11,43,0
-11,49,0
-11,55,0
-11,61,0
-15,0
